,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
49,49,0,0.8884,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",highly recommend tasty kavli thin crispbreads want something different white bread sandwich hate whole wheat love rye saw noticed ingredient get much simpler give try top cheese sandwich spread whatever like tasty feel full top course white bread nice thin like bite anything hard nice crunch flavor strong mild nothing like rye bread might purchase past noticed calorie per slice love taste good whole grain super low calorie crunchier potato chip feel satisfied chew eat keep forever cupboard definitely buy long time
50,50,0,0.7549,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",pleased dog food order anything else dog since buy lab malti poo eat happily happy healthy
51,51,2,0.853,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",start buying lot organic food past year dawn perhaps dog eat healthfully also look list ingredient regular dog food downright nauseate buy newman dog love usually gobble minute put bowl
52,52,1,0.8728,"snack, love, bar, price, chip, find, buy, try, eat, would",sign monthly subscription item price great especially without pay shipping charge love fact manage subscription skip month order earlier schedule amazon excellent get shipment timely manner newman organic adult dog food chicken rice formula pound bag pleased order amazon extremely pleased customer service thanks amazon
53,53,0,0.4577,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",feel better feed product dog use another popular brand contain lot filler one dog pickier would prefer meatier taste clean eventually
54,54,1,0.8792,"snack, love, bar, price, chip, find, buy, try, eat, would",family love tasty healthy sesame honey almonds trader joe get crunchy flavor sesame seed combine subtle sweetness honey almond flavor wow great snack feel good eat favorite trader joe almond snack almonds good handful morning fruit smoothie snack lunch great way get protein healthy fat vitamin almond offer good idea measure cup almond count almond stay calorie range want keep within nutritionist recommend small amount almond walnuts day good fat protein
55,55,1,0.8874,"snack, love, bar, price, chip, find, buy, try, eat, would",love cooky paleo diet right cooky look forward like taste tropical one best different taste want something grain free gluten free right place expect taste different reviewer seem expect taste like oreos chip ahoy course eat even feel bad body welcome make crash either feel like ate junk food good indicator make natural ingredient wish cooky close buy every single day
56,56,2,0.6647,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",flavor fruit enclose outstanding bluberry drawback blanket enclose fruit bit thick unlike companys fig bar pastry textured flavored cane syrup fruit juice cal per bar low fat carbs bad consider great taste
57,57,1,0.8551,"snack, love, bar, price, chip, find, buy, try, eat, would",erin baker product fruit nut mini breakfast cookie favorite one mini breakfast cookie calorie cup coffee morning feel satisfy ready start day healthy low caloreis super delicious make product work try like
58,58,1,0.9216,"snack, love, bar, price, chip, find, buy, try, eat, would",adopt adorable edmund last year shelter send home small bag felidae grain free version cat kitten dry formula kitten time concern eat healthy whole food course want best kitty well research find cat digestive system design eat grain fruit vegetable directly basically carbs eat already prey stomachs mouse ate something carby cat ate mouse would get little whatever want make sure ratio food close find nature possible without break bank already seem really like felidae grain include version soon starter bag run immediately switch grain free variety eat ever since get love give one small scoop grain free kibble morning partial large felidae grain free food try turkey chicken salmon grain free can one edmund prefers turkey chicken eat anything give buy lid petsmart seal air tight can fridge storage clean easy absolute softest shiniest fur coat ever see cat healthy happy single vet visit since adopt even though chronic upper respiratory issue get cleared blame least fact eats grain free felidae food rest love ridiculously much love free shipping amazon buy case can bag dry two one time use buy elsewhere since heavy shipping would often almost much product
59,59,1,0.8511,"snack, love, bar, price, chip, find, buy, try, eat, would",healthy grain light crispy perfect dip salsa taste like rice cake easy teeth dental work want chip hard find supermarket
60,60,1,0.6804,"snack, love, bar, price, chip, find, buy, try, eat, would",product delicious say upfront thou semi messy place peanut butter center instead back taste great great start eat day good ruin enjoyment actually good stop eat guess value excellent snack everyone friends love family ship fast always amazon prime membership day package box total contains individually wrap granola thins granola bar flat peanut butter one side seriously also ruin granola eat every day also notice avoid mess open scissors peal make mess exclusively
61,61,1,0.8348,"snack, love, bar, price, chip, find, buy, try, eat, would",anyone look delicious healthy snack doctor kracker answer however hard crispiness people good teeth
62,62,1,0.9085,"snack, love, bar, price, chip, find, buy, try, eat, would",order flat food sale contain chicken apple compote dinner contain variety like first one others although properly seal solid moldy stinky one turkey dinner flat also improperly seal lid pop lucky happen check one paranoid check several time call earth best assure problem worry suprised get pass inspection baby food manufacturer would company take risk bad publicity baby food manufacturer rely much reputation safety also recently open jar flat son refuse eat realize rotten completely solid domed top poke toothpick bottom jar dry throughout shortly eat last dinner box son start vomit refuse eat contact usda happens please jar give information need may prevent baby get sick never buy anything earth best
63,63,1,0.8622,"snack, love, bar, price, chip, find, buy, try, eat, would",arrowhead mill organic savory herb stuff nice blend herb flavor compliment chicken turkey especially appreciate fact transfats use stuff family enjoy without worry stuff easy prepare really add meal use year long wait holiday enjoy good food
64,64,2,0.733,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",soon one dog diagnose renal failure yes eat food recall list westie become ill hold food vet sort test find something gentle enough keep night meet rep nutro local petco tell natural choice give literature website learn purchase can food along small bag dry food mix turn dog sort virus food food could keep regain strength due skin allergy know westies keep food find best understand though sell cheap amazon thru petco case store website think keep price regulate throughout
65,65,2,0.7084,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",dog many food allergy make usa treat free wheat corn egg dairy dog get enough
66,66,1,0.8878,"snack, love, bar, price, chip, find, buy, try, eat, would",star compromise rating grandchild rating star think flavor heavy apple grape juice combo light orange tangerine flavor also leave mild can aftertaste year old granddaughter love consider treat equal soda juice concentrate reconstitute carbonated water much healthier regular soda true still sugar natural sugar juice healthier processed sugar find soft drink send contain ounce better size regular ounce soda child tasty healthy alternative
67,67,1,0.9097,"snack, love, bar, price, chip, find, buy, try, eat, would",die hard soda pop fan drink juice normally certain brand little soda sprite mixed kill taste sweeten bit well better even mix without bad stuff soda crisp clean orange taste nice tangerine undertone continue taste effortless drink make feel sluggish afterwords hard describe say get right extra sugar yet sweet sweet share wife agree comment sad get one little review entire case sure could replace coke sure could replace juice coke intake problem always seem something time cost coke per could justify twice cost four time reason order far expect breakdown buy case still happy cost difference
68,68,1,0.8645,"snack, love, bar, price, chip, find, buy, try, eat, would",love everything drink get plenty carbonation even without add sugar artificial sweetener plenty sweet without sweet love tangerine tangerine flavor aroma love oranges tangerine perfect drink ordered vine program curiosity one must buy item future also buy grandchild since added sugar know love perfect
69,69,1,0.8772,"snack, love, bar, price, chip, find, buy, try, eat, would",quit sodas year ago due unhealthiness however like bubbly drink need sugar sodium product perfect fruit juice carbonate bubbliness orange one favorite flavor drink perfect drink think product even better orange soda orange soda sticky product perfect amount sharpness love fruit juice also perfect amount natural sweetness product good thing roll one fruit juice add sugar bubbly awesome orange flavor good hard believe drink something healthy
70,70,1,0.6698,"snack, love, bar, price, chip, find, buy, try, eat, would",unlike another product review vine least product sugar per carbonate water add concentrate mixture order apple grape tangerine last well least acai concentrate first two list apple grape two common fruit sweetener use beverage etc product taste sweeten calorie quite lot flavor carbonated water carbohydrate grams carbs gram sugar apple grape highest concentration fructose fruit sugar commonly appear commercial beverage sweeter regular cane sugar thus cheaper use also know cause diarrhea particularly child another drink hit parade pretend healthy drink appeal mass concern ever grow girth delude help forestall continued growth better drinking diet coke would even better buy sparkle flavored water calorie favorite bella familglia pomegranate lime lemon orange flavor sell time time amazon well local supermarket better yet buy organic pure fruit juice pomegranate pour cup glass favorite sparking water quarter cup bottle favorite sparkling water least actual juice fructose extract
71,71,1,0.891,"snack, love, bar, price, chip, find, buy, try, eat, would",really surprised taste switch orange tangerine drink reminds carbonated orange juice little sweet side bad opinion actually beverage could drink time get tired best thing switch healthy add sugar lot vitamin switch natural beverage great carbonation soda without unhealthy unnatural ingredient soda want great taste drink healthy highly recommend switch like orange juice think really enjoy can little smaller side though
72,72,0,0.5391,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",teen friend drink regular soda pop gallon obviously addict stuff unhealthy habit drink soda pop year since one begin search drink taste like regular soda pop unhealthy search high low suitable alternative find izze love fruity tangy flavor izze sparkle grafefruit soda grapefruit flavor well spicy mexican food also great teen love izze drink like soda pop happy know guzzle corn syrup artificial color flavor instead enjoy natural izze add sweeetners look great alternative regular soda pop better buy izze
73,73,1,0.728,"snack, love, bar, price, chip, find, buy, try, eat, would",stick twig may seem little pricey compare regular pretzel bag last long time ingredient like flax seed quinoa chia seed curry good crunchy tasty add protein like dip peanut butter
74,74,1,0.6603,"snack, love, bar, price, chip, find, buy, try, eat, would",usually healthy food hard swallow fresh crunchy delicious pumpkin seed switch potato chip wife tell good prostate know take word
75,75,1,0.86,"snack, love, bar, price, chip, find, buy, try, eat, would",never try bob red mill pumpkin seed although use happy many product look pumpkin seed pumpkins grown usa organic seed china bob red mill seed pumpkins grown oregon take plunge order bag seed arrive less hour four seal bag also seal bob red mill box package larger amazon box open one bag seed try way better get local whole food store bulk seed chewy hard stale taste slight pumpkin taste variety seed rounder flatter pumpkin seed variety like pointy end stab munch great buy seed star grown usa star total star
76,76,1,0.8467,"snack, love, bar, price, chip, find, buy, try, eat, would",gim better ingredient kind larabars sweeter item genuine junk less sure invest single bar let alone size
77,77,0,0.8784,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",satisfied purchase nutiva hemp seed order pack arrive fairly quickly taste great usually add protein shake enhance amino acid profile sprinkle top salad add flavor texture supply almost definitely order one review say still shell bag find mine
78,78,0,0.6455,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",use hemp seed every morning protein shake taste great healthy
79,79,1,0.8896,"snack, love, bar, price, chip, find, buy, try, eat, would",told nutritionist eat handful whole natural almond day would help lose weight get right kind fat proteins implemented diet bit skeptical huge almond fan begin particularly enjoy salt roasted almond usually kind come surround coconut chocolate kind get nut bowl shell around holiday whole natural almond blue diamond taste like come right shell boy yummy like satisfy snack like taste one buy added salt anything nice fresh right shell star
80,80,0,0.8753,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",want truly healthy fill snack must give try well sister vanilla bean almond lightly sweeten fragrant either cinnamon vanilla depend choose container marvelous half flip top easy one hand like car roast oil almond meaty sweet almond sooo good recommend try get amazon subscribe save well worth natural lovely
81,81,0,0.6775,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",call almond sweet right hint sweet flavor almond elevate feel like treat taste texture almonds particularly appeal healthy snack glad find delicious option also small container perfect size desk keep car use stock stuffer like plan couple healthy eat conscious friend
82,82,1,0.8558,"snack, love, bar, price, chip, find, buy, try, eat, would",almond taste right since dry salt hardly stay surface therefore salty enough whole healthy snack hope type almonds subscription service discount
83,83,0,0.8191,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",almond taste good well flavored cinnamon vanilla flavor decent change pace little plain though
84,84,1,0.8869,"snack, love, bar, price, chip, find, buy, try, eat, would",review cinnamon cookie small bag love gluten issue like fact cooky gluten free crunchy satisfy desire something sweet caloriesand fat three cooky pack cooky saturate fat trans fat cholesterol sodium fiber carbs protein yummy every bite starbucks carry sporadically glad able buy amazon
85,85,1,0.897,"snack, love, bar, price, chip, find, buy, try, eat, would",love almond general particular brand quite good taste great right amount salt oil anyway individually package can make easy portable snack portion control also easier small size order pack almond slight variation taste batch batch roast bit darker others always find fresh tasty almond relatively healthy high protein good source magnesium calcium manganese full unsaturated fat see organic roast salt almond company hope offer eventually decent price one thing would also like see kind assurance liner free bpa
86,86,2,0.6168,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",skeptic product try skim milk cereal delicious retain crunch even minute soak milk enjoy texture caramelly flavor think could definitely less sweet lower carb far find cereal highest fiber content vitamins mineral single serving contains also comparable similar product company perfect breakfast snack time day
87,87,0,0.7365,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",pleased salt actually salty regular salt even kosher salt sea salt little bit long way usually cook add thing afterwards hand grind
88,88,2,0.7497,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",right cat find outside good eight year ago find another cat adopt also always feed eukanuba adult lamb rice dry cat food truly love first open bag smell savory aroma cat find outdoor adopt one turned turkish angora marking similar snow leopard third cat find part egyptian mau also fee feral cat live back yard year love food even change formula food year ago still eat love read ingredient excellently make real plus diet eating year yet see cat turn nose food dry food cat love fancy feast gourmet filet mignon flavor real seafood shrimp dry cat food start eat eagle pack natural pet food indoor formula cat cat food brand call artemis problem eat dry food rescue cat year own many cat one time one set kitten born outdoor bring indoors mother keep day pass live close year age ate eukanuba lamb rice love food turn nose like chicken soup taste wild way human like dislike way cat like dislike good one cat might good another learn cat see like give cat love eukanuba lamb rice maybe cat also maybe fair try food review owner say cat like previously state maybe cat like maybe cat love try cat food base good review figure food automatically hit sometimes sometimes cat
89,89,1,0.9045,"snack, love, bar, price, chip, find, buy, try, eat, would",pet promise safe healthy pet food business desperately look another healthy food product render fat meat meal outsource ingredient might want check type ingredient include stomach take avoid commercial manufacturer spin good book get regard food pet die protect pet food pet die shock fact pet food protect pet shock fact cat completely unaffected melamine contamination tragedy kill many pet especially cat pet promise food one brand america use outsource ingredient never recall list unlike expensive premium brand felt lucky already switch pet promise petfood company buy ingredient north american farmer use sustainable agriculture free range livestock finally discover halo product encourage fact ellen degeneres devout animal lover endorse also become part owner company website also include specific message write former pet promise user health food store buy delighted see product render meat meat meal label state ingredient make usa except pea protein canada furthermore salmon halo wild alaskan farm salmon aka pharmed salmon full antibiotic etc moreover low carbohydrate even include probiotic mix make even promise pet promise ultimate test whether cat would eat unlike dachshund would eat anything hit floor really low ground know cat notorious persnickety eat habit love get enough dole overeat five month health energy seem great ellen many thanks
90,90,1,0.8955,"snack, love, bar, price, chip, find, buy, try, eat, would",ironically amazon seasonal worker discover tasty treat work sale floor keep think wow sure ship alot thing home check line active healthy person always look wholesome breakfast option hard time eat cooky fill delish eat one around fine lunch healthy ingredient fuel busy day lifestyle wait put back pack hike next
91,91,1,0.6465,"snack, love, bar, price, chip, find, buy, try, eat, would",slightly bias company start near hometown fan erin baker breakfast cooky year since first notice pop coffee shop back home living side country pleasantly surprise find amazon even excite find great price store freezer pop toaster like eat fresh bake cookie full good thing keep get hungry till lunch high fiber much better taste energy bar love cookie breakfast love thing order soon keep freezer well stock
92,92,1,0.7348,"snack, love, bar, price, chip, find, buy, try, eat, would",dog love everyone share agree great snack feed grain dog bone offer high protein healthy snack promotes good health
93,93,2,0.8235,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",feed dog happy hip dogswell product safe google dog eat regularly vet blood work
94,94,0,0.8165,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",try number chocolate chip cookie mix husband begin wonder gluten wheat dairy free cooky could taste better sawdust pamela chocolate chunk cookie mix revelation taste good regular chocolate chip cookies delicious
95,95,1,0.9061,"snack, love, bar, price, chip, find, buy, try, eat, would",whenever bar taste like soft chocolate chip cooky coconut flavor good natural taste deceived size package wrapper much larger bar still satisfy snack come respectable calorie eat around mid morning late night snack avoid gluten wheat dairy bar wheat free gluten free non dairy enjoy organic food please see healthy ingredient include oat agave chia seed brown rice flour etc become available subscribe save program feel certain subscribe great around low calorie sweet treat
96,96,1,0.7514,"snack, love, bar, price, chip, find, buy, try, eat, would",even tastier original flavor work great belgian waffle maker price right available subscription
97,97,0,0.8649,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",find great taste steel oat cook quickly process oatmeal easy oat even microwave never get gummy originally find california visit family could find virginia return home purchase two big bag minimum get internet big bag intend share one friend
98,98,0,0.8754,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",husband make serious effort change eat habit healthy purchase product concern highly process vegetable oil use way oil become carcinogenic cooked high heat true oil heat past smoke point avocado oil high smoke point make perfect healthy choice healthy fat heart taste yummy also recommend macadamia oil reason amazon ship right away perfect misto great oil put definitely keep hand
99,99,2,0.5813,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",senentary job like munch thing steadily gain weight decide munch favor enter dry bake dry fruit guilt polish entire bag one sit although try refrain bare fruit brand great bake dried crunchy like chip ingredient apple cinnamon shrinkage eat mean far better eat anything artificial amazon price competitive originally buy marshall maxx two dollar twenty nine cent
100,100,0,0.7785,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",part regular order love use master cleanse perfect
101,101,1,0.8724,"snack, love, bar, price, chip, find, buy, try, eat, would",month daughter love eat since around old bag full fruit veggie serve sometimes give along main dish lunch time also great snack time good know healthy count towards daily fruit veggie serving fresh fruit veggie readily available also love flavor fruit veggie melt completely mess free snack always plus
102,102,2,0.5014,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",somersault terrific snack addictive really healthier snack convenient packaging warn want
